shotID,sessionID,uniqueid,lineCallType,id,playingPlayerID,receivingPlayerID,in_out,review,status,x,y,ballSpeed,impactSpeed,netHeight,spin,playingx,playingy,receivingx,receivingy,shotType,timestamp,TimeSinceLast,bitNet,bounce_x,bounce_y,bounce_playerPosition_x,bounce_playerPosition_y,bounce2ago_x,bounce2ago_y,stroke,MachineSetting,ServeSide,Type
1025960,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,0,0,NA,-55.438,12.877,83.755,59.825,6.527,0,47.706,-2.736,-31.943,6.538,NA,1570808811.073,3.5209999084472656,0,0,8.47,NA,NA,31.263,4.038,Forehand,Narrow 60 MPH,NA,Down the Line
1025961,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,28.212,3.239,60.998,43.57,1.245,0,-31.943,6.538,50,-5.677,NA,1570808812.572,1.499000072479248,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025962,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-34.968,6.573,57.13,40.807,5.043,0,50,-5.037,-31.943,6.538,NA,1570808814.232,1.6600000858306885,0,28.212,3.239,50,-5.677,0,8.47,Forehand,Narrow 60 MPH,NA,Down the Line
1025963,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,30.321,-0.475,58.77,41.978,1.581,0,-31.943,6.538,50,-6.342,NA,1570808815.918,1.685999870300293,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025963,12205,89ab63cd469b0589,0,1,Michael,Michael,0,0,NA,0,8.207,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,30.321,-0.475,50,-6.342,28.212,3.239,Forehand,Narrow 60 MPH,NA,Cross Court
1025964,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.435,4.254,60.784,43.417,1.42,0,-50,-1.412,50,-1.246,NA,1570808819.222,3.303999900817871,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025965,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,5,NA,-38.9,10.855,79.742,56.959,3.702,0,46.489,-0.923,-50,-1.412,NA,1570808820.801,1.5790002346038818,0,29.435,4.254,50,-1.246,30.321,-0.475,Forehand,Narrow 60 MPH,NA,Down the Line
1025966,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,31.184,-0.472,62.358,44.542,1.477,0,-50,-1.412,50,-7.083,NA,1570808822.370,1.5689997673034668,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025967,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-25.332,4.718,69.843,49.888,1.318,0,48.397,-4.812,-50,-1.412,NA,1570808823.675,1.3050000667572021,0,31.184,-0.472,50,-7.083,29.435,4.254,Forehand,Narrow 60 MPH,NA,Cross Court
1025968,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,30.448,4.528,62.134,44.382,1.53,0,-50,-1.412,50,0.06,NA,1570808825.542,1.8670001029968262,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025969,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,0,0,NA,-43.139,1.286,72.972,52.123,4.094,0,48.434,-1.849,-50,-1.412,NA,1570808827.109,1.566999912261963,0,30.448,4.528,50,0.06,31.184,-0.472,Forehand,Narrow 60 MPH,NA,Down the Line
1025970,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,31.999,-0.85,61.663,44.045,1.828,0,-50,-1.412,50,-6.082,NA,1570808828.963,1.8540000915527344,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025971,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-30.034,5.76,59.113,42.224,3.09,0,46.281,-3.206,-50,-1.412,NA,1570808830.484,1.5209999084472656,0,31.999,-0.85,50,-6.082,30.448,4.528,Forehand,Narrow 60 MPH,NA,Cross Court
1025972,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.902,3.105,64.387,45.991,1.419,0,-50,-1.412,50,-3.134,NA,1570808832.260,1.7760000228881836,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
